FBtr0077350	1000	639	-1086.65	-1.08665	-1.70055
FBtr0077348	1000	640	-1286.87	-1.28687	-2.01073
FBtr0077347	1000	647	-1046.76	-1.04676	-1.61787
FBtr0339506	1000	658	-126.669	-0.126669	-0.192506
FBtr0339508	1000	658	-126.669	-0.126669	-0.192506
FBtr0339507	1000	658	-126.669	-0.126669	-0.192506
FBtr0309239	1000	658	-126.669	-0.126669	-0.192506
FBtr0309238	1000	658	-126.669	-0.126669	-0.192506
FBtr0077349	1000	658	-126.669	-0.126669	-0.192506
FBtr0077346	1000	658	-126.669	-0.126669	-0.192506
FBtr0077368	-1000	0	0	-0	0
FBtr0309240	-1000	0	0	-0	0
FBtr0305147	-1000	0	0	-0	0
FBtr0339498	-1000	0	0	-0	0
FBtr0077345	1000	487	-290.951	-0.290951	-0.597435
FBtr0077369	-1000	0	0	-0	0
FBtr0339499	-1000	0	0	-0	0
FBtr0339558	1000	625	1113.32	1.11332	1.78132
FBtr0077344	1000	625	1113.32	1.11332	1.78132
FBtr0339557	1000	627	945.662	0.945662	1.50823
FBtr0342876	1000	643	45.6399	0.0456399	0.0709796
FBtr0114142	1000	0	0	0	0
FBtr0346695	1000	0	0	0	0
FBtr0347227	1000	639	-50.0396	-0.0500396	-0.0783092
FBtr0347224	1000	639	-50.0396	-0.0500396	-0.0783092
FBtr0347223	1000	639	-50.0396	-0.0500396	-0.0783092
FBtr0347226	1000	639	-50.0396	-0.0500396	-0.0783092
FBtr0347225	1000	639	-50.0396	-0.0500396	-0.0783092
FBtr0347222	1000	639	-50.0396	-0.0500396	-0.0783092
FBtr0347221	1000	639	-50.0396	-0.0500396	-0.0783092
FBtr0342861	1000	551	1434.11	1.43411	2.60273
FBtr0301292	-1000	0	0	-0	0
FBtr0301294	-1000	0	0	-0	0
FBtr0301293	-1000	0	0	-0	0
FBtr0300374	-1000	0	0	-0	0
FBtr0300373	-1000	0	0	-0	0
FBtr0077373	-1000	0	0	-0	0
FBtr0077372	-1000	0	0	-0	0
FBtr0077371	-1000	0	0	-0	0
FBtr0077374	-1000	0	0	-0	0
